current_date,current_gold_close,current_mm_percentile,current_producer_percentile,current_oi_percentile,historical_date,similarity_score,historical_gold_close,historical_mm_percentile,historical_producer_percentile,historical_oi_percentile,future_return_1w,future_return_2w,future_return_4w,future_return_8w
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-08-08,97.86324786324786,1924.0999755859373,34.615384615384606,91.66666666666666,3.2051282051282,-0.01122601520711497,-0.01439631595205415,0.001091406690184149,-0.051712489612032675
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-02-07,96.36752136752136,1871.699951171875,32.69230769230769,91.02564102564102,5.12820512820512,-0.009456617852019011,-0.020676364899002597,-0.030880978931277836,0.08040818717004905
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2014-04-15,96.36752136752136,1300.0,35.8974358974359,85.25641025641025,2.56410256410256,-0.014923095703125,-0.003076923076923088,-0.004153864933894247,-0.030923039362980798
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-06-27,95.51282051282053,1914.0,44.87179487179487,92.94871794871796,3.84615384615384,0.004022962994709944,0.009038687997975359,0.02513060375440812,-0.009195389543331989
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-10-08,95.08547008547009,1324.199951171875,23.71794871794871,92.94871794871796,0.64102564102564,-0.03866481880365924,0.013819702086478758,-0.012233765117978246,-0.07740522865092292
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2021-06-22,95.08547008547008,1776.300048828125,35.8974358974359,87.82051282051282,8.974358974358971,-0.00760006734724028,0.00968302127966636,0.019478677382666287,0.004897793690663121
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2021-06-29,95.08547008547008,1762.800048828125,35.256410256410255,88.46153846153845,8.974358974358971,0.017415447198497525,0.026435202118876955,0.020819123074266033,0.024279513031704836
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-10-29,94.65811965811966,1345.199951171875,33.33333333333333,87.82051282051282,7.69230769230769,-0.02765384516961078,-0.05508472961315902,-0.07716319545461392,-0.10414806770093099
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2014-04-22,94.44444444444444,1280.5999755859375,38.46153846153846,83.33333333333334,3.84615384615384,0.012025632287722132,0.02163054331584946,0.010854306324426188,-0.006949886446772968
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-06-13,94.23076923076923,1944.5999755859373,47.43589743589743,91.66666666666666,3.84615384615384,-0.004679613133901861,-0.015735871629185327,-0.0068394152652423434,-0.010542013914107473
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-08-27,94.01709401709402,1420.5999755859375,20.51282051282051,93.5897435897436,2.56410256410256,-0.0060537630112167395,-0.039771928038148885,-0.07363084427957589,-0.05497675413778924
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-09-05,93.80341880341881,1926.199951171875,29.48717948717949,92.94871794871796,11.53846153846153,-0.007735387146430517,0.0030111353832171783,-0.05274632860629325,0.03063025723996371
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-02-14,93.8034188034188,1854.0,20.51282051282051,91.66666666666666,1.28205128205128,-0.01132686084142398,-0.013538282408812052,0.028155313469188314,0.08133767466457664
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-09-03,93.58974358974359,1412.0,22.43589743589743,92.94871794871796,5.12820512820512,-0.03392353003828785,-0.07259206798866857,-0.0892351274787535,-0.047308816450513436
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-09-10,93.37606837606837,1364.0999755859375,17.94871794871795,94.87179487179488,3.2051282051282,-0.040026373845864605,-0.03526132720974251,-0.029250073402371957,-0.04112599999266198
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2014-02-11,93.37606837606837,1290.0999755859375,21.79487179487179,91.66666666666666,3.84615384615384,0.02681960796892735,0.041004592989032806,0.04371756102735125,0.014417468365186092
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-09-24,92.94871794871796,1316.0,17.94871794871795,96.7948717948718,2.56410256410256,-0.022796352583586588,0.006230965936075306,0.02013677811550152,-0.03237080211697374
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2023-09-19,92.73504273504274,1932.0,28.84615384615384,90.3846153846154,11.53846153846153,-0.016356095023777217,-0.055590074748479656,-0.0048136898696299335,0.015424455915178603
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-10-01,92.73504273504274,1286.0,17.94871794871795,98.07692307692308,1.92307692307692,0.029704472139871596,-0.01010886469673411,0.04603417664998055,-0.03468116297506807
2026-06-09,4260.0,35.8974358974359,94.87179487179488,1.28205128205128,2013-11-05,92.73504273504273,1308.0,28.84615384615384,86.53846153846155,7.69230769230769,-0.02821102783949736,-0.026452580723193786,-0.06597863060254205,-0.08111618928588493
